,0
0,Colorado
1,Connecticut
2,Illinois
3,Indiana
4,Iowa
5,Kentucky
6,Maine
7,Maryland
8,Massachusetts
9,Minnesota
10,Missouri
11,Montana
12,Nebraska
13,New Jersey
14,North Carolina
15,Oklahoma
16,Rhode Island
17,South Carolina
18,Vermont
19,Wisconsin
